UPM;VIV_SEL;HOGAR;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9_1;P2_9_2;P2_9_3;P2_9_4;P2_9_5;P2_9_6;P5_2;P5_3;P5_4;P6_1_1;P6_1_2;P6_1_3;P6_1_4;P6_1_5;P6_1_6;P6_1_7;P6_1_8;P6_1_9;P6_1_10;P6_1_11;P6_1_12;P6_1_13;P6_1_14;P6_1_15;P7_1_1;P7_1_2;P7_1_3;P7_1_4;P7_1_5;P7_1_6;P7_1_7;P7_1_8;P7_1_9;P7_1_10;P7_1_11;P7_1_12;P7_1_13;P7_1_14;P7_1_15;P7_1_16;P7_2_1;P7_2_2;P7_2_3;P7_2_4;P7_2_5;P7_2_6;P7_2_7;P7_2_8;P7_2_9;P7_3_1;P7_3_1M;P7_3_2;P7_3_2M;P7_3_3;P7_3_3M;P7_3_4;P7_3_4M;P7_3_5;P7_3_5M;P7_3_6;P7_3_6M;P7_4;P7_5;NUMREN;PA_2;PA_3_1;PA_3_2;P5_1_01;P5_1_02;P5_1_03;P5_1_04;P5_1_05;P5_1_06;P5_1_07;P5_1_08;P5_1_09;P5_1_10;P5_1_11;P5_1_12;P5_1_13;P5_1_14;P5_1_15;P5_1_16;P5_1_17;P5_1_18;P5_1_19;ENT;DOMINIO;REGION;EST_DIS;UPM_DIS;ESTRATO;FAC_HOGAR
05930;03;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;0100;0100;0050;0040;0020;0025;0140;0070;0030;0000;0000;0120;0000;0000;0000;0000;000000;000000;000000;000300;002500;000000;000000;000000;000000;1;003000;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;04;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;0100;0110;0000;0055;0000;0110;0000;0000;0040;0000;0000;0020;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;05;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;1;1;1;1;2;1;2;9999;9999;0054;0040;0035;0042;0260;0082;0020;0050;0000;0200;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;06;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;1;2;1;1;1;1;2;1;1;0200;0200;0020;0020;0000;0000;0300;0200;0150;0150;0000;0250;0050;0000;0000;0000;000000;000000;000000;007000;001500;000000;000000;000000;000000;1;004000;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;07;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;1;1;2;2;1;1;1;1;2;2;1;0250;0250;0000;0030;0000;0000;0000;0080;0000;0300;0000;0027;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;08;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;1;1;1;1;2;1;2;0075;0075;0070;0050;0030;0032;0390;0060;0090;0000;0000;0108;0000;0000;0000;0000;000000;000000;000000;000000;001000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;09;1;03;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;2;1;2;2;2;2;1;1;2;1;1;0100;0100;0090;0050;0000;0050;0100;0050;0000;0070;0000;0108;0040;0000;0000;0000;000000;000000;000000;000000;000000;000000;000085;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;10;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;2;2;1;2;2;1;2;1;1;2;1;2;0050;0050;0072;0028;0018;0034;0080;0050;0020;0000;0000;0028;0028;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;11;1;06;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;0200;0200;0100;0000;0000;0000;0500;0150;0000;0000;0000;0060;0150;0300;0000;0000;000000;000000;000000;000000;006300;000000;000500;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;04; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;12;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;2;2;1;2;2;1;1;1;1;2;1;2;0300;0100;0054;0035;0043;0039;0300;0200;0000;0000;0000;0032;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;13;1;04;2; ; ;2; ; ; ; ; ; ;1;2; ;1;2;2;2;1;1;1;2;1;1;1;1;2;1;2;0200;0100;0054;0100;0200;0100;0310;0052;0000;0000;0040;0060;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000270;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;14;1;01;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;1;2;1;2;2;1;1;1;1;2;1;2;0150;0100;0010;0015;0030;0038;0200;0090;0000;0000;0000;0030;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;15;1;02;2; ; ;2; ; ; ; ; ; ;1;2; ;1;2;2;1;2;1;2;2;1;1;1;1;2;1;1;0300;0200;0019;0000;0052;0090;0390;0068;0060;0050;0000;0030;0025;0000;0000;0150;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;16;1;07;2; ; ;2; ; ; ; ; ; ;1;2; ;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;0200;0150;0000;0022;0000;0000;0000;0088;0000;0000;0000;0050;0000;0000;0000;0000;000000;000000;000000;000000;000460;000000;000380;000000;000000;2; ;2; ;1;001200;1;000500;2; ;2; ;00; ;01; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;17;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;1;2;1;2;2;1;1;1;1;2;1;1;0070;0060;0026;0000;0000;0000;0210;0000;0000;0000;0000;0020;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;18;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;1;2;2;1;2;2;1;1;1;1;2;1;2;0100;0100;0016;0020;0150;0011;0250;0045;0050;0000;0000;0020;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;19;1;02;2; ; ;2; ; ; ; ; ; ;1;2; ;1;2;2;2;1;2;2;2;1;2;1;1;2;1;2;0100;0030;0000;0000;0000;0000;0000;0028;0000;0000;0000;0020;0000;0000;0000;0000;000000;000000;000000;000000;000400;000000;000600;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;01;000000;01; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;269;05930;2;503
05930;20;1;05;2; ; ;2; ; ; ; ; ; ;1;2; ;1;2;1;1;2;1;2;2;2;1;1;1;2;1;2;0200;0050;0050;0030;0030;0050;0200;0100;0100;0000;0000;0100;0000;0000;0000;0000;000000;000000;000000;000000;000200;000000;000000;000000;000000;1;000300;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;27;2;4;269;05930;2;503
05931;01;1;04;2; ; ;2; ; ; ; ; ; ;1;2; ;1;2;2;2;2;1;2;2;1;1;1;2;2;1;2;0100;0100;0056;0000;0000;0000;0060;0000;0000;0000;0000;0000;0000;0000;0000;0000;000000;000000;000000;000000;000600;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;27;2;4;268;05931;1;351
05931;02;1;03;2; ; ;2; ; ; ; ; ; ;1;2; ;1;1;2;1;2;1;2;2;1;1;1;2;2;2;2;0000;0000;0000;0000;0000;0000;0150;0000;0000;0000;0000;0000;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;268;05931;1;351
05931;03;1;03;2; ; ;2; ; ; ; ; ; ;1;2; ;1;1;2;2;2;1;2;2;1;1;1;1;2;2;1;0120;0180;0000;0000;0100;0100;0200;0080;0050;0000;0000;0000;0040;0000;0000;0000;000000;000000;000000;000400;000620;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;01; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27;2;4;268;05931;1;351
06001;02;1;02;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;2;1;2;1;1;2;2;1;1;1;1;2;2;0000;0050;0070;0020;0300;0025;0000;0050;0050;0000;0000;0050;0000;0000;0000;0000;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;28;1;1;281;06001;3;868
06001;03;1;06;2; ; ;2; ; ; ; ; ; ;2; ; ;1;1;2;2;2;1;2;2;1;1;1;1;2;1;2;0100;0200;0119;0015;0055;0050;0100;0060;0030;0030;0000;0030;0075;0000;0000;0000;000030;000000;000000;000000;000550;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;00; ;02; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;28;1;1;281;06001;3;868
06001;04;1;04;2; ; ;2; ; ; ; ; ; ;2; ; ;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;9999;9999;0016;0030;9999;9999;9999;9999;0050;0000;9999;0060;9999;9999;9999;9999;000000;000000;000000;000000;000000;000000;000000;000000;000000;2; ;2; ;2; ;2; ;2; ;2; ;01;999999;02; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ;28;1;1;281;06001;3;868
